timestamp,open,high,low,close,price_change
2023-09-10 00:00:00+00:00,917600.0,923960.0,917520.0,917580.0,20.0
2023-09-09 00:00:00+00:00,917520.0,923420.0,917500.0,916720.0,800.0
2023-09-08 00:00:00+00:00,937040.0,937040.0,916720.0,931240.0,5800.0
2023-09-07 00:00:00+00:00,918220.0,931900.0,907180.0,919580.0,1360.0
2023-09-06 00:00:00+00:00,908520.0,919580.0,905000.0,909040.0,520.0
2023-09-05 00:00:00+00:00,905020.0,912560.0,905020.0,909360.0,4340.0
2023-09-04 00:00:00+00:00,910500.0,916220.0,901880.0,912460.0,1960.0
2023-09-03 00:00:00+00:00,912860.0,912860.0,910500.0,902580.0,10280.0
2023-09-02 00:00:00+00:00,911800.0,915720.0,902560.0,910240.0,1560.0
2023-09-01 00:00:00+00:00,908920.0,915540.0,895500.0,904340.0,4580.0
2023-08-31 00:00:00+00:00,960080.0,960080.0,904340.0,948520.0,11560.0
2023-08-30 00:00:00+00:00,971480.0,971480.0,947260.0,968200.0,3280.0
2023-08-29 00:00:00+00:00,921080.0,978360.0,910000.0,921360.0,280.0
2023-08-28 00:00:00+00:00,914800.0,921360.0,914800.0,914800.0,0.0
2023-08-27 00:00:00+00:00,914800.0,914800.0,914800.0,916800.0,2000.0
2023-08-26 00:00:00+00:00,917960.0,917960.0,909240.0,919620.0,1660.0
2023-08-25 00:00:00+00:00,911200.0,922440.0,907020.0,922760.0,11560.0
2023-08-24 00:00:00+00:00,932320.0,932320.0,906680.0,933520.0,1200.0
2023-08-23 00:00:00+00:00,920440.0,933520.0,905160.0,900000.0,20440.0
2023-08-22 00:00:00+00:00,918760.0,918760.0,900000.0,918900.0,140.0
2023-08-21 00:00:00+00:00,919680.0,932420.0,918900.0,925000.0,5320.0
2023-08-20 00:00:00+00:00,921060.0,1035060.0,914300.0,925980.0,4920.0
2023-08-19 00:00:00+00:00,927440.0,927940.0,910020.0,927440.0,0.0
2023-08-18 00:00:00+00:00,967000.0,967000.0,918460.0,967000.0,0.0
2023-08-17 00:00:00+00:00,1020000.0,1020000.0,952500.0,1022000.0,2000.0
2023-08-16 00:00:00+00:00,1028040.0,1038840.0,1022000.0,1035860.0,7820.0
2023-08-15 00:00:00+00:00,1032020.0,1040720.0,1026140.0,1032020.0,0.0
2023-08-14 00:00:00+00:00,1025900.0,1036000.0,1025900.0,1033200.0,7300.0
